Surveyor (Last Name),Day of the Week,Neighborhood,Language,Business ID,Bus or Bike Lane,Person Surveyed,Chain,Business Type,Number of Customers,Business Length Open,Number of Workers,Family Owned,Primary Concern,Financial Stability,Neighborhood Recovered,Crime,Housing Affordability,Local Politicians,Technology (list all with commas between),Adopt Technology Post-Pandemic,Struggle without Technology,Own or Rent,Amount Rent,Bicycle Lanes,Dedicated Bus Lanes,Trees,Public Art,"Notes (include data here on ""Other"" responses, observational notes.)"
Li,Monday,Berkeley,English,B1503,Neither,Owner,No,Retail,1,More than 10 years,Less than 5,Yes,"Private equity firms buying housing and making immerse profit, increasing rents for residents and commercial, therefore pricing out business and causing displacement",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,"Social media, website",No,No,Rent,,Support,Don't Support,Support,Support,Local politicians listens but does not respond.
Li,Monday,Berkeley,English,B1505,Neither,Employee,Yes,Services,1,6-10 years,Less than 5,No,,Somewhat Agree,Don't Know/NA,Strongly Disagree,Strongly Disagree,Don't Know/NA,"Social media, delivery services, website",No,No,Rent,,Support,Support,Support,Support,
Li,Monday,Berkeley,English,B1506,Neither,Owner,No,Retail,2,6-10 years,Less than 5,Yes,foot traffic,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Social media, online orders, delivery services, website",Yes,Yes,Rent,,Don't Know,Don't Know,Don't Know,Don't Know,
Li,Friday,SF Chinatown,Mandarin,SFC6,,Employee,No,Retail,3,0-3 years,Less than 5,Yes,"crime, economics",Don't Know/NA,Don't Know/NA,Strongly Agree,Somewhat Agree,Somewhat Disagree,"social media, delivery",No,Yes,Rent,Don't know,Don't Know,Don't Know,Support,Support,Noted that streets were too narrow
Li,Friday,SF Chinatown,English,SFC7,,Employee,No,Retail,5,More than 10 years,Less than 5,Yes,Don't know,Strongly Disagree,Don't Know/NA,Somewhat Agree,Don't Know/NA,Somewhat Disagree,"online orders, delivery services, website",Yes,No,Rent,5000,Don't Support,Support,Support,Support,Noted that streets were too narrow
Li,Friday,SF Chinatown,Mandarin,SFC8,,Employee,Yes,Restaurant/Bar,5,More than 10 years,10-May,Yes,Visitor,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,"online orders, website",No,Yes,Rent,5000,Don't Support,Don't Support,Don't Support,Support,Noted that streets were too narrow
Li,Friday,SF Chinatown,Mandarin,SFC9,,Employee,No,Grocery/Market,5,0-3 years,Less than 5,No,Visitor,Strongly Disagree,Strongly Disagree,Don't Know/NA,Don't Know/NA,Strongly Disagree,delivery services,Yes,No,Rent,Don't know,Don't Support,Don't Support,Don't Support,Support,Noted that streets were too narrow
Martinez,Friday,Mission,English,B28,Bus Lane,Manager,No,Restaurant/Bar,1,More than 10 years,Less than 5,Yes,"""Mess"" outside BART 24th Street station; food street vendors not obtaining same license/competition; outdoor drug use",Don't Know/NA,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"Instagram, Facebook, Website/Google",Yes,,Own,"About to sell business and rent space for $9,000/month",Don't Support,Don't Support,Don't Know,Support,"Respondent observed that current police presence is a ""cat and mouse"" game; building space has been owned for 45 years."
Martinez,Friday,Mission,English,B29,Bus Lane,Employee,No,Retail,5,0-3 years,Less than 5,Yes,"Making money for rent (they sell art and used books, and the market for art is not hot right now)",Don't Know/NA,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,"Instagram, Website/database, Square payments",No,Yes,Rent,"$20,000/month, sublet two spaces within building",Don't Know,Don't Know,Support,Support,Business has been open since 2011 with a secondary but recently-closed original location. This location has been open 1.5 years.
Martinez,Friday,Downtown Oakland,English,DTO-33,,Owner,No,Other,0,4-5 years,10-May,No,Parking availability and foot traffic,Don't Know/NA,Somewhat Disagree,Somewhat Agree,Don't Know/NA,Somewhat Agree,"Social media, online orders, website",No,Yes,Rent,"$1,600/month",Support,Don't Know,Support,Support,
Martinez,Friday,Downtown Oakland,English,DTO-35,,Employee,No,Grocery/Market,100,0-3 years,Less than 5,Yes,Break-in's ,,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,None,No,,Rent,"$4,000-$5,000/month",Support,Don't Know,Support,Support,"relatively new business, only about 3 months "
Martinez,Friday,Downtown Oakland,English,DTO-37,,Owner,No,Retail,5,More than 10 years,Less than 5,Yes,"Crime, the sales  tax is 10.7%, higher than SF",,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"social media, online orders, website",Yes,No,Rent,Did not want to disclose,Support,Don't Know,Support,Support,Owner also mentioned adding speed bumps to street due to speeding being an issue
Martinez,Saturday,Downtown Oakland,English,DTO-58,Bus Lane,Owner,No,Retail,4-Mar,More than 10 years,Less than 5,No,"Business has been ""tough"" since COVID, struggling to regain foot traffic",,Somewhat Agree,Somewhat Agree,Strongly Agree,Don't Know/NA,"social media, online orders, website ",No,Yes,Rent,Did not want to disclose,Support,Support,Don't Know,Support,"Owner mentioned she has two other small businesses and that amazon.com has been ""lifesaver"" "
Mays,Friday,Mission,English,B24,Bike Lane,Owner,No,Other,2,6-10 years,10-May,No,Safety and cleanliness,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"Social media, online orders, website, eventbrite",No,Yes,Rent,"8,000",Support,Don't Know,Support,Support,
Mays,Friday,Mission,English,B25,Bike Lane,Manager,No,Retail,12,More than 10 years,Less than 5,Yes,Lack of foot traffic,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,"Social media, online order, website",Yes,No,Rent,"4,500",Don't Know,Don't Know,Support,Don't Support,
Mays,Friday,Mission,English,B26,Bike Lane,Other,Yes,Restaurant/Bar,2,0-3 years,More than 10,Yes,Giving people what they want,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,"Social media, online orders, delivery services, website",,No,Rent,"10,000",Don't Know,Don't Know,Support,Support,
Mays,Friday,Mission,English,B27,Bike Lane,Employee,Yes,Activity Based,12,0-3 years,10-May,Yes,Lack of foot traffic,Don't Know/NA,Somewhat Agree,Strongly Agree,Don't Know/NA,Strongly Disagree,"Social media, website",,Yes,Rent,"35,000",Don't Know,Don't Support,Support,Support,
McIntosh,Saturday,Downtown Oakland,English,DTO- 67,Bike Lane,Owner,No,Retail,1,0-3 years,Less than 5,Yes,Spaces for artisans,Don't Know/NA,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Don't Know/NA,"Social medai, online orders, website, Square, Shopify ",Yes,Yes,Rent,$65/ day,Support,Don't Know,Support,Support,very emphatically supports public art
McIntosh,Saturday,Downtown Oakland,English,DTO-64,Bike Lane,Owner,No,Retail,0,4-5 years,Less than 5,No,Safety,Strongly Agree,Don't Know/NA,Somewhat Agree,Don't Know/NA,Strongly Agree,"Social media, credit cards, venmo",Yes,Yes,,No Rent,Support,Support,Support,Support,Does not pay rent because it is a pop-up. Only pays for a business license. 
McIntosh,Saturday,Downtown Oakland,English,DTO-65,Bike Lane,Owner,No,Retail,2,More than 10 years,Less than 5,No,Theft,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,"Social media, Square",No,Yes,Rent,$65/ day or $150/year,Don't Support,Don't Support,Support,Support,Felt that bikes lanes were bad for everyone- including bikes. They take away from parking and are not used enough to justify them.
McIntosh,Saturday,Downtown Oakland,English,DTO-66,Bike Lane,Owner,No,Retail,3,More than 10 years,Less than 5,Yes,Gentrification/ rising crime.  Fewer customers. Job loss,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,"Social media, online orders, website, paypal, square",No,Yes,Rent,$65/ day or $55/ day ($520/ month in summer and $440/ month in winter),Support,Support,Support,Support,Combo of rising crime and gentrification is a confusing combo - felt that there are now fewer people watching out for the street. Fewer regulars because of housing crisis - people are moving out of the area. Felt this has had a massive impact on business. 
Mello,Wednesday,Berkeley,English,B0901,Neither,Employee,No,Restaurant/Bar,20-30,0-3 years,More than 10,No,Ebb and flow of business based on school year and events,Don't Know/NA,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Don't Know/NA,"social media, online orders, website, digital payment systems",,Yes,Rent,don't know,Support,Support,Don't Know,Support,discussed need for stop sign at intersection in front of store
Mello,Wednesday,Berkeley,English,B0902,Neither,Manager,No,Grocery/Market,10,More than 10 years,10-May,Yes,Inventory shrink,Strongly Disagree,Don't Know/NA,Strongly Agree,Don't Know/NA,Don't Know/NA,"online orders, doordash ubereats",No,Yes,Rent,~$9000,Support,Support,Support,Don't Know,
Mello,Wednesday,Berkeley,English,B0903,Neither,Employee,No,Services,0,More than 10 years,10-May,Yes,demand based on whether school is in session,Don't Know/NA,Somewhat Disagree,Somewhat Disagree,Don't Know/NA,Don't Know/NA,"social media, online order, delivery services, website, design",No,No,Rent,don't know,Support,Support,Support,Support,
Mello,Wednesday,Berkeley,English,B0904,Neither,Manager,No,Services,0,6-10 years,Less than 5,No,"homelessness, parking, change of street address",Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Don't Know/NA,website,No,No,Rent,not able to share,Don't Support,Don't Support,Support,Support,respondent wanted to fill out the survey without us present
Mills,Friday,Berkeley,English,B1302,Neither,Manager,No,Restaurant/Bar,2,6-10 years,More than 10,Yes,"Price inflation, high rent, inflation/economy, lack of parking",Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Don't Know/NA,"Social media, website",Yes,Yes,Rent,">$10,000",Support,Don't Know,Support,Support,
Mills,Friday,Berkeley,English,B1306,Neither,Manager,No,Retail,1,More than 10 years,Less than 5,Yes,"Parking Availability, Street Life",Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Website,No,Yes,Rent,Refused,Don't Support,Don't Support,Support,Support,
Mills,Friday,Berkeley,English,B1308,Both,Employee,Yes,Retail,8,More than 10 years,10-May,Yes,"Maintaining Relevancy, attracting customers",Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,"Online orders, delivery services, website",Yes,No,Own,N/A,Support,Support,Support,Support,
Mills,Friday,Berkeley,English,B1310,Bike Lane,Employee,No,Retail,1,More than 10 years,10-May,Yes,"Rent, Parking",Somewhat Disagree,Somewhat Agree,Don't Know/NA,Somewhat Disagree,Strongly Disagree,"Online orders, Website",No,No,Rent,Refused,Support,Support,Support,Support,
Noh,Monday,SF Chinatown,English,SFCJN1,Neither,Manager,No,Restaurant/Bar,4,4-5 years,Less than 5,Yes,"Safety, Homelessness, foot traffic",Somewhat Agree,Strongly Disagree,Somewhat Agree,Don't Know/NA,Don't Know/NA,Online orders/Delivery services,No,No,Rent,3000,Don't Support,Don't Support,Don't Support,Support,
Noh,Monday,SF Chinatown,Mandarin,SFCJN2,Neither,Employee,No,Retail,8,0-3 years,Less than 5,No,"Homelessness, theft",,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,"Social media, online orders, website",Yes,Yes,Rent,3000,Support,Don't Support,Support,Support,
Noh,Monday,SF Chinatown,English,SFCJN3,Neither,Manager,No,Retail,1,6-10 years,Less than 5,Yes,Homelessness and theft,Strongly Disagree,Strongly Disagree,Strongly Agree,Don't Know/NA,Strongly Disagree,None,,,Rent,12000,Don't Support,Support,Don't Support,Support,worried that trees will lead to more littering because there are no trash cans. Specifically noted the $950 minimum theft number for why theft is up (because it is not able to be prosecuted as much)
Noh,Monday,SF Chinatown,Mandarin,SFCJN4,Neither,Owner,No,Retail,3,More than 10 years,Less than 5,Yes,"Foot traffic, revenue",Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,None,,,Rent,4000,Don't Support,Support,Don't Support,Support,
Pais,Friday,Downtown Oakland,English,DTO-27,Neither,Owner,No,Restaurant/Bar,1,More than 10 years,Less than 5,Yes,"Foot traffic, people not coming back to the office",Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Don't Know/NA,"Online orders, Delivery Services, Website",Yes,Yes,Rent,,Don't Support,Support,Don't Support,Support,Did not worry about crime as business is at city center - clearly affected and stressed by lack of financial security
Pais,Friday,Downtown Oakland,English,DTO-40,Bus Lane,Manager,No,Restaurant/Bar,10,More than 10 years,10-May,Yes,"Safety, Security",Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,"Social media, Online orders, Delivery services, Website ",No,Yes,Rent,,Support,Don't Support,Support,Support,
Pais,Friday,Downtown Oakland,English,DTO-47,Bike Lane,Owner,No,Restaurant/Bar,4,More than 10 years,Less than 5,Yes,Cost of Rent and Inventory,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"Social Media, Online Orders",Yes,Yes,Rent,over 2000 for 600 sqft,Don't Support,Support,Support,Support,Supports trees as long as city takes care of them
Pais,Friday,Downtown Oakland,English,DTO-49,Bike Lane,Manager,No,Restaurant/Bar,2,0-3 years,More than 10,Yes,Safety at night,Don't Know/NA,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,"Social Media, Website",Yes,Yes,Rent,,Don't Support,Support,Support,Support,Brand new - 2 weeks old
Pethani,Friday,Downtown Oakland,English,DTO-24,Bus Lane,Manager,No,Retail,1,6-10 years,Less than 5,Yes,Crime,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,"Social media, Website",No,Yes,Rent,Don't want to,Support,Don't Support,Don't Know,Support,
Pethani,Friday,Downtown Oakland,English,DTO-39,,Owner,No,Restaurant/Bar,8,0-3 years,More than 10,Yes,"Foot Traffic in the area, Safety",,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,"Social media, Website",Yes,Yes,Rent,"$24,000/month",Support,Don't Know,Support,Support,Suggests additional investments in trash cans
Pethani,Friday,Downtown Oakland,English,DTO-73,Bus Lane,Owner,Yes,Retail,2,More than 10 years,Less than 5,Yes,"Security(Break-in, Robberies), 911 never responds ",Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,None ,No,No,Rent,"$15,000 ",Support,Don't Support,Support,Support,
Pethani ,Friday,Downtown Oakland,English,DTO-74,Neither,Employee,Unsure,Restaurant/Bar,5,0-3 years,10-May,Yes,"Crime (Car theft), Not enough parking spaces ",,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,"Social media, Online orders, Delivery, Website, Instagram ",No,Yes,Rent,Don't know ,Support,Support,Support,Support,
Rocha,Tuesday,Berkeley,English,B1301,Neither,Owner,No,Retail + Services,2,More than 10 years,Less than 5,Yes,Homelessness,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,None,No,No,Own,,Don't Support,Don't Support,Don't Support,Don't Support,Wants vacant housing to be filled up before any new housing is built
Rocha,Tuesday,Berkeley,English,B1302,Both,Employee,No,Grocery/Market,4,More than 10 years,More than 10,No,Businesses closing down,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Don't Know/NA,Somewhat Disagree,"Social media, Website",Yes,Yes,,,Support,Support,Support,Support,
Ruiz,Wednesday,Fruitvale,Spanish,FV10,Bike Lane,Owner,No,Grocery/Market,15,More than 10 years,More than 10,Yes,"Safety, Parking",Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Website,No,No,Rent,N/A,Don't Know,Support,Don't Know,Don't Know,"Small parking for a grocery place. BART riders park near streets, taking customer parking away"
Ruiz,Wednesday,Fruitvale,Spanish,FV11,Bike Lane,Employee,No,Services,6,,Less than 5,Don't Know,Safety,Don't Know/NA,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"Social media, website",,No,,,Don't Support,Don't Support,Support,Don't Support,New bike lanes have caused alot of car traffic
Ruiz,Wednesday,Fruitvale,Spanish,FV12,Both,Owner,No,Retail,0,More than 10 years,Less than 5,Yes,Safety,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,None,,,Rent,"""cant say""",Don't Support,Support,Support,Support,
Ruiz,Thursday,Fruitvale,Spanish,FV13,Both,Owner,No,Retail,4,6-10 years,Less than 5,Yes,"Safety- vandalism, robbery",Strongly Disagree,Strongly Disagree,Strongly Agree,Don't Know/NA,Somewhat Disagree,Social Media,No,No,Rent,n/a,Don't Know,Support,Support,Support,
Ruiz,Thursday,Fruitvale,English,FV14,Both,Manager,No,Healthcare/Education,0,6-10 years,10-May,Yes,Parking; wreckless driving,Somewhat Agree,Somewhat Agree,Somewhat Agree,Don't Know/NA,Somewhat Agree,Social media; online orders; website,Yes,No,Rent,n/a,Support,Support,Support,Support,
Ruiz,Wednesday,Fruitvale,English,FV7,,Employee,Unsure,Services,0,More than 10 years,Less than 5,No,Attracting Business,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,"social media, online orders, website",No,Yes,,N/A,Support,Support,Support,Support,"BART manages the space, so idnt know it its own/rent"
Ruiz,Wednesday,Fruitvale,English,FV8,Bike Lane,Employee,Yes,Retail,0,,Less than 5,No,Not Sure,Don't Know/NA,Somewhat Agree,Strongly Agree,Don't Know/NA,Don't Know/NA,"Social Media, Website",No,No,,Don't know,Don't Know,Don't Know,Support,Support,
Ruiz,Wednesday,Fruitvale,Spanish,FV9,Bike Lane,Owner,No,Retail,0,More than 10 years,Less than 5,Yes,Safety,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Website,No,No,Rent,"""Comfortable""",Don't Support,Don't Support,Support,Support,"40 year business in fruitvale and says safety is his main concer, he had a bulletproof glass window"
Santos,Friday,Berkeley,English,B1001,Neither,Owner,No,Restaurant/Bar,11,0-3 years,Less than 5,No,"Street cleanliness, homelessness/loitering",Don't Know/NA,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,"Social media, online orders, delivery services, website",,Yes,Rent,,Support,Support,Support,Support,
Santos,Friday,Berkeley,English,B1002,Neither,Owner,No,Grocery/Market,3,6-10 years,Less than 5,Yes,"Nice customers, nice streets & pleasant surroundings around neighborhood",Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,None,,,Rent,,Support,Support,Don't Know,Support,
Santos,Friday,Berkeley,English,B1003,Neither,Employee,Yes,Activity Based,N/A (could not see in full store),0-3 years,10-May,No,Getting enough customer traffic,Don't Know/NA,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,"Social media, online orders, website",,Yes,Rent,,Support,Don't Know,Support,Support,
Santos,Friday,Berkeley,English,B1004,Neither,Employee,Yes,Retail,8,More than 10 years,10-May,Yes,"Rent, staying afloat",Strongly Disagree,Somewhat Agree,Strongly Disagree,Don't Know/NA,Don't Know/NA,"Social media, online orders, delivery services, website",No,Yes,Own,,Support,Support,Support,Support,
Sharma,Saturday,Fruitvale,Spanish,FV4,Bus Lane,Owner,No,Retail,0,More than 10 years,Less than 5,Yes,"Crime, robberies, no police presence ",Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Social media,Yes,Yes,Rent,$3000/mo,Don't Support,Don't Support,Support,Support,"Owner expressed that the business may not survive due to the high crime rate deterring customers, Also the owner protested against the AC transit lines when they were put 3 years earlier, and expressed that the bus lanes have negatively impacted business revenues "
Sharma ,Saturday,Fruitvale,Spanish,FV6,Bike Lane,Manager,No,Services,1,More than 10 years,Less than 5,Yes,"Crime, robberies",Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Website,No,No,Rent,Don't know,Don't Support,Don't Support,Support,Support,"Within 1-2 months, there have been 8 robberies, crime is a huge issue and safety of employees is also at risk"
Smith,Wednesday,Berkeley,English,B1,Neither,Employee,Yes,Retail,6,More than 10 years,10-May,Yes,"Staying open with lots around them closing, including the candy store and hardware store (for various reasons)",Strongly Agree,Somewhat Disagree,Somewhat Disagree,Don't Know/NA,Don't Know/NA,"Social media, online orders, delivery, website, other",No,Yes,Rent,No idea,Support,Don't Know,Support,Support,Other = = transactions processing and ordering via RevelPOS
Smith,Wednesday,Berkeley,English,B3,Neither,Manager,Unsure,Activity Based,0,More than 10 years,10-May,Yes,[stopped with this question] -- see notes in last column,,,,,,,,,,,,,,,"Partial survey: stopped on Q4, ""would want the answer represented by the owners""; employee was taking the survey, then the manager came and took it over, and then he didn't want to answer the questions on behalf of the owners and directed me towards them"
Smith,Wednesday,Berkeley,English,B32,Neither,Owner,No,Services,1,More than 10 years,Less than 5,Yes,"Not the same since Covid - less foot traffic, fewer students, security is the concern, homelessness was a concern but now lesser and lesser, but still a concern... harassing, mental issues, grab and runs",Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Don't Know/NA,"Social media, online orders, delivery services, website, other",Yes,Yes,Rent,"$1,100 ",Support,Support,Support,Don't Support,"Google ads, cameras with technology, new computers"
Smith,Wednesday,Berkeley,English,B33,Neither,Manager,No,Grocery/Market,5,More than 10 years,Less than 5,Yes,"Government, Berkelet city law and ""all their bullshit"", like fines, moving bus stop in front on the store... neighborhood and unsavory foot traffic",Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,"Social media, website",No,No,Own,(owns),Support,Support,Support,Support,
Smith,Wednesday,Berkeley,English,B5,Neither,Employee,No,Retail,2,0-3 years,Less than 5,Yes,Foot traffic - having people come in to buy things,,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,"Social media, online orders, website",,Yes,Rent,No clue,Support,Support,Support,Support,"New business since Covid, so that's why the 2 questions refering to Covid timeline are blank"
Sohaana,Thursday,Berkeley,English,B0304,Both,Owner,No,Grocery/Market,13,More than 10 years,Less than 5,Yes,"Safety, Cleanliness",Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Social media and delivery services,No,Yes,Rent,N/A,Don't Support,Don't Support,Support,Support,
Sohaana,Thursday,Berkeley,English,B0305,Both,Owner,No,Grocery/Market,10,More than 10 years,10-May,Yes,"Safety, Parking",Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,"Social media, Rewards program",Yes,No,Own,N/A,Don't Know,Don't Support,Support,Support,
Sohaana,Thursday,Berkeley,English,B0306,Both,Manager,No,Retail,1,6-10 years,Less than 5,Yes,Slow,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,"Social media, Online orders, Delivery services",Yes,No,Rent,N/A,Support,Support,Support,Support,
Sohaana,Tuesday,Berkeley,English,B0307,Both,Manager,No,Grocery/Market,6,6-10 years,10-May,Yes,"Parking, High utility bills, City govt's rules and regulations",Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Don't Know/NA,"Social media, Online orders, Delivery services, Website",Yes,Yes,Rent,N/A,Don't Support,Don't Support,Support,Support,
Spaethling,Friday,SF Chinatown,English,SFMS1,Neither,Employee,No,Retail,0,More than 10 years,10-May,Yes,Economy isn't good so the business isn't good,Somewhat Agree,Don't Know/NA,Strongly Agree,Don't Know/NA,Strongly Agree,Social media,No,No,Rent,Didn't know and wouldn't tell me if she did,Don't Know,Don't Know,Don't Know,Don't Know,
Spaethling,Friday,SF Chinatown,English,SFMS2,Neither,Employee,No,Restaurant/Bar,0,0-3 years,More than 10,Yes,Not very many costumers or foot traffic,,Strongly Disagree,Somewhat Agree,Somewhat Agree,Don't Know/NA,Not yet,,,Rent,Didn't know,Don't Know,Don't Know,Don't Know,Support,New business
Spaethling,Friday,SF Chinatown,English,SFMS3,Neither,Manager,Yes,Services,5,More than 10 years,10-May,No,Safety,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"Social media, online orders, website",No,Yes,Rent,Didn't know,Support,Support,Support,Support,
Spaethling,Friday,SF Chinatown,English,SFMS4,Neither,Employee,Yes,Retail + Services,6,More than 10 years,Less than 5,Yes,"Cleaniness, graffiti",Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Delivery services,No,No,Rent,"$3,000 ",Don't Support,Don't Support,Don't Know,Don't Support,
Stern,Wednesday,Berkeley,English,B1201,Neither,Employee,Unsure,Other,12,More than 10 years,More than 10,No,"Finances, generating funds",Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Don't Know/NA,"Social media, website, newsletters, live streams",Yes,No,,"$3,793.75 ",Support,Don't Support,Support,Support,"Didn't support bus lanes on College Ave, and supported them on other Berkeley corridors contingent on disability accomodations "
Stern,Wednesday,Berkeley,English,B1202,Neither,Owner,No,Other,1,More than 10 years,Less than 5,Yes,"Specific: Installation of in-unit washers and dryers, general: whether school is in or out, seasonal customer base",Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Don't Know/NA,Credit card readers,Yes,No,Own,,Don't Support,Don't Support,Don't Support,Support,"Didn't support bus lanes on College Ave since it's 2 lanes, but supports bus lanes on multi-lane arterials in Berkeley"
Stern,Wednesday,Berkeley,English,B1203,Bike Lane,Employee,No,Grocery/Market,2,More than 10 years,Less than 5,Yes,"Crime, stealing",Strongly Disagree,Don't Know/NA,Somewhat Agree,Strongly Agree,Strongly Disagree,None,,,,,Support,Support,Support,Support,
Stern,Wednesday,Berkeley,English,B1206,Bike Lane,Owner,No,Services,1,6-10 years,Less than 5,No,"Safety, ""people with mental health issues,"" though not personally affected",Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,"Social media, Website, Online booking, Apple Pay",No,,Rent,"$2,500 ",Support,Support,Don't Support,Don't Support,"Perception that people are spending less money on comestic services due to pandemic, perceptions that tree cover may reduce motorist sightlines, only supports good public art, something motivational"
Suh,Wednesday,Mission,English,B3,Bike Lane,Owner,No,Retail,0,6-10 years,Less than 5,Yes,"not enough parking for customers, safety",Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,"social media, website",No,No,Rent,N/A,Don't Support,Don't Support,Support,Support,
Suh,Wednesday,Mission,English,B4,Bike Lane,Employee,No,Retail,3,More than 10 years,10-May,No,"rent afforadability, leasing practices/restraints, foot traffic",Don't Know/NA,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,"social media, online orders, delviery services, website",No,Yes,Rent,N/A,Don't Support,Support,Support,Support,"outside facade of building has construction and is affecting foot traffic, hoping to work out a new lease during construction for lower rent"
Suh,Wednesday,Mission,English,B6,Bike Lane,Employee,Yes,Retail,6,More than 10 years,More than 10,No,parking for employees and customers,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,"social media, online orders, delivery services, website",Yes,Yes,Rent,N/A,Don't Know,Don't Support,Support,Support,
Suh,Wednesday,Mission,English,B8,Bike Lane,Manager,No,Restaurant/Bar,12,6-10 years,More than 10,No,"rent afforadability, parking, cost of goods and labor",Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,"socila media, website",No,No,Rent,N/A,Don't Support,Don't Support,Support,Support,
Tjiang,Friday,SF Chinatown,English,SFLT1,,Owner,No,Services,0,More than 10 years,Less than 5,Yes,Safety,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Social media,No,Yes,Rent,"$2,500 ",Don't Support,Don't Support,Support,Support,Thinks streets are too narrow for bike lane or bus lane implementation
Tjiang,Friday,SF Chinatown,English,SFLT2,,Owner,No,Retail,0,More than 10 years,Less than 5,Yes,Safety,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Don't Know/NA,Online orders,Yes,Yes,Rent,Didn't want to share,Don't Support,Support,Support,Support,Doesn't support bike lanes because of parking. Strong language barrier but still managed to complete survey.
